policy,mode,domain,structure,label,tp,fp,fn,precision,recall,f1
secure,ner,Verträge,regular,LOC,6,0,2,1.000000,0.750000,0.857143
secure,ner,Verträge,regular,ORG,1,1,0,0.500000,1.000000,0.666667
secure,ner,Verträge,regular,PER,7,0,5,1.000000,0.583333,0.736842
secure,ner,Verträge,regular,STRASSE,0,0,4,0.000000,0.000000,0.000000
secure,ner,Verträge,structured,LOC,5,2,4,0.714286,0.555556,0.625000
secure,ner,Verträge,structured,ORG,0,2,4,0.000000,0.000000,0.000000
secure,ner,Verträge,structured,PER,6,0,0,1.000000,1.000000,1.000000
secure,ner,Verträge,structured,STRASSE,0,0,6,0.000000,0.000000,0.000000
secure,ner,Verträge,unstructured,LOC,6,0,2,1.000000,0.750000,0.857143
secure,ner,Verträge,unstructured,ORG,4,0,0,1.000000,1.000000,1.000000
secure,ner,Verträge,unstructured,PER,5,1,1,0.833333,0.833333,0.833333
secure,ner,Verträge,unstructured,STRASSE,0,0,4,0.000000,0.000000,0.000000
secure,regex,Chats,regular,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,regular,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,regex,Chats,regular,STRASSE,3,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,regular,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,DATUM,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,URL,1,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,URL,1,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,DATUM,7,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,PLZ,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,DATUM,10,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,PLZ,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,E_MAIL,3,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,PLZ,1,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,DATUM,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,URL,1,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,DATUM,3,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,PLZ,6,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,STRASSE,5,0,1,1.000000,0.833333,0.909091
secure,regex,Verträge,unstructured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,unstructured,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
