policy,mode,domain,structure,label,tp,fp,fn,precision,recall,f1
secure,ner,E-Mail,unstructured,LOC,0,1,0,0.000000,0.000000,0.000000
secure,ner,E-Mail,unstructured,ORG,4,0,1,1.000000,0.800000,0.888889
secure,ner,E-Mail,unstructured,PER,3,2,3,0.600000,0.500000,0.545455
secure,ner,HR-Dokumente,regular,LOC,5,1,1,0.833333,0.833333,0.833333
secure,ner,HR-Dokumente,regular,ORG,5,0,1,1.000000,0.833333,0.909091
secure,ner,HR-Dokumente,regular,PER,3,0,0,1.000000,1.000000,1.000000
secure,ner,HR-Dokumente,regular,STRASSE,0,1,0,0.000000,0.000000,0.000000
secure,ner,HR-Dokumente,structured,LOC,2,1,4,0.666667,0.333333,0.444444
secure,ner,HR-Dokumente,structured,ORG,5,3,1,0.625000,0.833333,0.714286
secure,ner,HR-Dokumente,structured,PER,2,0,0,1.000000,1.000000,1.000000
secure,ner,HR-Dokumente,structured,STRASSE,0,0,1,0.000000,0.000000,0.000000
secure,ner,HR-Dokumente,unstructured,LOC,2,0,0,1.000000,1.000000,1.000000
secure,ner,HR-Dokumente,unstructured,ORG,6,2,1,0.750000,0.857143,0.800000
secure,ner,HR-Dokumente,unstructured,PER,2,1,1,0.666667,0.666667,0.666667
secure,ner,Supporttickets,regular,ORG,1,0,1,1.000000,0.500000,0.666667
secure,ner,Supporttickets,regular,PER,3,0,1,1.000000,0.750000,0.857143
secure,ner,Supporttickets,structured,ORG,2,0,1,1.000000,0.666667,0.800000
secure,ner,Supporttickets,structured,PER,2,0,0,1.000000,1.000000,1.000000
secure,ner,Supporttickets,unstructured,ORG,2,1,0,0.666667,1.000000,0.800000
secure,ner,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
secure,ner,Verträge,regular,LOC,6,0,2,1.000000,0.750000,0.857143
secure,ner,Verträge,regular,ORG,0,2,0,0.000000,0.000000,0.000000
secure,ner,Verträge,regular,PER,5,0,4,1.000000,0.555556,0.714286
secure,ner,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
secure,ner,Verträge,structured,LOC,5,5,5,0.500000,0.500000,0.500000
secure,ner,Verträge,structured,ORG,0,3,4,0.000000,0.000000,0.000000
secure,ner,Verträge,structured,PER,6,0,0,1.000000,1.000000,1.000000
secure,ner,Verträge,structured,STRASSE,5,1,0,0.833333,1.000000,0.909091
secure,ner,Verträge,unstructured,LOC,4,2,2,0.666667,0.666667,0.666667
secure,ner,Verträge,unstructured,ORG,2,2,0,0.500000,1.000000,0.666667
secure,ner,Verträge,unstructured,PER,5,1,0,0.833333,1.000000,0.909091
secure,ner,Verträge,unstructured,STRASSE,3,0,1,1.000000,0.750000,0.857143
secure,regex,Chats,regular,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,regular,PLZ,1,1,0,0.500000,1.000000,0.666667
secure,regex,Chats,regular,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,regular,TELEFON,0,0,0,0.000000,0.000000,0.000000
secure,regex,Chats,structured,DATUM,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,URL,1,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,URL,1,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,DATUM,7,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,PLZ,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,STRASSE,0,1,0,0.000000,0.000000,0.000000
secure,regex,HR-Dokumente,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,DATUM,10,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,PLZ,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,E_MAIL,3,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,PLZ,1,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,DATUM,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,URL,1,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,DATUM,3,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,PLZ,6,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,STRASSE,4,1,1,0.800000,0.800000,0.800000
secure,regex,Verträge,unstructured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,unstructured,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
