policy,mode,domain,structure,label,tp,fp,fn,precision,recall,f1
minimal,combined,Verträge,structured,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,unstructured,PER,5,1,1,0.833333,0.833333,0.833333
minimal,combined,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
minimal,ner,Chats,regular,PER,21,0,1,1.000000,0.954545,0.976744
minimal,ner,Chats,regular,STRASSE,2,0,1,1.000000,0.666667,0.800000
minimal,ner,Chats,structured,PER,18,2,1,0.900000,0.947368,0.923077
minimal,ner,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,ner,Chats,unstructured,PER,24,3,2,0.888889,0.923077,0.905660
minimal,ner,Chats,unstructured,STRASSE,1,0,1,1.000000,0.500000,0.666667
minimal,ner,E-Mail,regular,PER,1,0,2,1.000000,0.333333,0.500000
minimal,ner,E-Mail,structured,PER,4,0,1,1.000000,0.800000,0.888889
minimal,ner,E-Mail,unstructured,PER,3,2,3,0.600000,0.500000,0.545455
minimal,ner,HR-Dokumente,regular,PER,3,0,0,1.000000,1.000000,1.000000
minimal,ner,HR-Dokumente,regular,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,ner,HR-Dokumente,structured,PER,2,0,0,1.000000,1.000000,1.000000
minimal,ner,HR-Dokumente,structured,STRASSE,0,0,1,0.000000,0.000000,0.000000
minimal,ner,HR-Dokumente,unstructured,PER,2,1,1,0.666667,0.666667,0.666667
minimal,ner,Supporttickets,regular,PER,3,0,1,1.000000,0.750000,0.857143
minimal,ner,Supporttickets,structured,PER,2,0,0,1.000000,1.000000,1.000000
minimal,ner,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
minimal,ner,Verträge,regular,PER,5,2,7,0.714286,0.416667,0.526316
minimal,ner,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
minimal,ner,Verträge,structured,PER,6,0,0,1.000000,1.000000,1.000000
minimal,ner,Verträge,structured,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,ner,Verträge,unstructured,PER,5,2,1,0.714286,0.833333,0.769231
minimal,ner,Verträge,unstructured,STRASSE,3,0,1,1.000000,0.750000,0.857143
minimal,regex,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,regular,STRASSE,3,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,regular,TELEFON,1,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,regular,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,unstructured,E_MAIL,3,0,0,1.000000,1.000000,1.000000
